Attribute,ForClim 4.0.1,4C,FORMIND,PICUS 1.6,FORCEEPS,TreeMig,LANDIS-II 7 NECN 6.0,LandClim 2.0,iLand,HYBRID 4.0,LPJ-GUESS 4.0,aDGVM
ES1,1.347039765,1.347039765,-0.808223859,1.347039765,1.347039765,1.347039765,-0.808223859,1.347039765,1.347039765,-0.808223859,0.269407953,-0.808223859
ES2,0.457850772,0.457850772,0.457850772,0.457850772,0.457850772,0.457850772,0.457850772,0.457850772,0.457850772,-2.10611355,0.457850772,-2.10611355
ES3,0.828078671,0.828078671,-0.621059003,0.828078671,0.828078671,0.828078671,-2.070196678,0.828078671,0.828078671,-0.621059003,0.828078671,0.828078671
ES4,-0.27235239,1.252820993,-0.27235239,-0.27235239,-0.27235239,-0.27235239,-1.797525772,-0.27235239,1.252820993,0.490234301,0.490234301,1.252820993
ES5,-0.27235239,-0.27235239,-0.27235239,-0.27235239,-0.27235239,0.998625429,-0.27235239,-0.27235239,0.998625429,-0.27235239,0.998625429,-0.27235239
ES6,0.44223686,0.44223686,0.44223686,0.44223686,0.44223686,0.44223686,-0.589649147,0.44223686,0.44223686,0.44223686,0.44223686,0.44223686
ES7,1.068881393,-1.311808982,-1.311808982,1.068881393,1.068881393,-1.311808982,1.068881393,1.068881393,0.728782768,-1.311808982,0.728782768,0.728782768
ES8,0.152398939,-1.269991155,-1.269991155,1.100659001,0.152398939,-1.269991155,1.100659001,1.100659001,1.100659001,-1.269991155,0.152398939,-1.269991155
ES9,-0.506417779,-0.506417779,-0.506417779,1.620536892,-0.506417779,-0.506417779,-0.506417779,-0.506417779,2.329521782,-0.506417779,1.620536892,1.620536892
ES10,1.341640786,-0.670820393,-0.670820393,1.341640786,1.341640786,1.341640786,-0.670820393,1.341640786,1.341640786,-0.670820393,-0.670820393,-0.670820393
ES11,-0.97514834,-0.97514834,-0.97514834,0.929792604,0.929792604,-0.97514834,0.929792604,0.929792604,0.929792604,-0.97514834,0.929792604,0.929792604
ES12,-0.709139513,-0.709139513,-0.709139513,1.055829942,-0.709139513,1.497072306,1.055829942,1.055829942,1.497072306,-0.709139513,-0.709139513,-0.709139513
ES13,0.826516354,0.826516354,-0.953672716,0.826516354,0.826516354,-0.953672716,0.826516354,-0.953672716,0.826516354,-0.953672716,-0.953672716,-0.953672716
